restaurante,ambiente,bebida,comida,geral,localização,outros,preço,serviço,tema mais repetido,total de temas assinalados
Coco Bambu,6437,1394,15726,8620,205,87,2137,27980,serviço,62586
Coco Bambu: Restaurante e Frutos do Mar em Santo André SP,2040,313,4394,2533,129,22,601,8028,serviço,18060
Coco Bambu Norte Shopping Rio,2440,278,3541,2413,18,21,441,7952,serviço,17104
Coco Bambu - Anália Franco,1419,218,3633,2161,68,16,327,8026,serviço,15868
Coco Bambu Curitiba,1148,194,3309,1971,26,11,208,8772,serviço,15639
Coco Bambu Anhembi,1262,154,2815,1937,69,29,216,8817,serviço,15299
Coco Bambu Botafogo,1357,269,3667,1987,29,17,394,6579,serviço,14299
Coco Bambu BH Anchieta,1423,325,3300,1817,52,15,489,6676,serviço,14097
Coco Bambu (SP Market),1476,280,3301,1849,25,17,543,5805,serviço,13296
COCO BAMBU SÃO JOSÉ DO RIO PRETO,853,157,2545,1607,1,11,100,7832,serviço,13106
Coco Bambu Osasco,794,153,2167,1525,10,18,110,7938,serviço,12715
Coco Bambu Manaus,1121,244,2484,1595,31,20,335,6742,serviço,12572
Coco Bambu Teresina,1120,241,2558,1272,82,16,326,6659,serviço,12274
Coco Bambu Porto Alegre,1085,285,3160,1557,32,13,431,5087,serviço,11650
Coco Bambu Shopping Recife: Restaurante e Frutos do Mar em Recife PE,1295,215,2879,1437,31,27,470,5112,serviço,11466
Coco Bambu - Unidade JK,1478,286,3822,1709,128,18,938,2862,comida,11241
Coco Bambu Sul,1368,184,2721,1340,140,24,659,4447,serviço,10883
Coco Bambu Beira Mar,1576,378,3019,1643,180,25,823,2292,comida,9936
Coco Bambu Guarulhos,776,148,1930,1326,10,13,197,5301,serviço,9701
Restaurante Coco Bambu Bahia e Espaço de Eventos,874,101,1863,1139,46,9,160,5472,serviço,9664
Coco Bambu Minas Shopping,957,172,1894,1313,17,7,115,5062,serviço,9537
Coco Bambu Meireles,1254,205,2592,1215,131,21,582,3163,serviço,9163
Coco Bambu Uberlândia,856,235,1942,1180,14,10,215,4643,serviço,9095
Coco Bambu Brasília Shopping,1162,283,2710,1228,75,13,570,2983,serviço,9024
Coco Bambu Sorocaba,823,131,2207,1190,6,11,121,4509,serviço,8998
Coco Bambu Conceito-BH Shopping,578,131,1760,1083,29,11,150,5023,serviço,8765
Coco Bambu ItaúPower Contagem,705,135,1787,1219,7,5,77,4688,serviço,8623
Coco Bambu Conceito São Bernardo do Campo,642,97,1742,1019,14,8,104,4714,serviço,8340
Coco Bambu Campo Grande,542,183,1670,993,1,5,113,4664,serviço,8171
Coco Bambu Del Rey,679,144,1768,1041,11,5,117,4206,serviço,7971
Coco Bambu Park Shopping: Restaurante e Frutos do Mar em Brasília DF,651,147,1495,925,12,11,165,4047,serviço,7453
Coco Bambu - Unidade Market Place,607,120,1865,833,14,20,401,2591,serviço,6451
Coco Bambu Vila Velha,811,141,1878,937,34,9,369,2248,serviço,6427
Coco Bambu - Dom Pastel,873,158,1781,712,130,12,606,1744,comida,6016
Coco Bambu Londrina: Restaurante e Frutos do Mar em Londrina PR,644,140,1527,735,11,3,199,2241,serviço,5500
Coco Bambu Vitória,396,72,1019,540,32,6,62,2767,serviço,4894
Coco Bambu Conceito Pátio Paulista,365,82,1143,549,4,11,100,2271,serviço,4525
Coco Bambu Ribeirão Preto,608,153,1422,660,25,7,296,1139,comida,4310
Coco Bambu Conceito Eldorado,320,76,1071,588,16,6,185,1676,serviço,3938
Coco Bambu Conceito Vila Olímpia,247,63,865,457,10,11,115,1357,serviço,3125
Coco Bambu Haddock Lobo Jardins,384,45,682,399,7,6,47,1215,serviço,2785
Coco Bambu Iguatemi Brasília,280,44,555,323,5,3,69,1196,serviço,2475
Coco Bambu Canoas,214,31,484,277,3,0,37,843,serviço,1889
Coco Bambu Belém,149,20,394,248,1,2,32,909,serviço,1755
Coco Bambu Lago Sul,188,26,291,190,6,6,56,424,serviço,1187
Coco Bambu Coffee Break,203,49,227,119,11,2,61,247,serviço,919
Coco Bambu North Shopping Fortaleza,89,12,123,75,6,0,14,321,serviço,640
