restaurante,ambiente,bebida,comida,geral,localização,outros,preço,serviço
Coco Bambu,10.29%,2.23%,25.13%,13.77%,0.33%,0.14%,3.41%,44.71%
Coco Bambu: Restaurante e Frutos do Mar em Santo André SP,11.30%,1.73%,24.33%,14.03%,0.71%,0.12%,3.33%,44.45%
Coco Bambu Norte Shopping Rio,14.27%,1.63%,20.70%,14.11%,0.11%,0.12%,2.58%,46.49%
Coco Bambu - Anália Franco,8.94%,1.37%,22.90%,13.62%,0.43%,0.10%,2.06%,50.58%
Coco Bambu Curitiba,7.34%,1.24%,21.16%,12.60%,0.17%,0.07%,1.33%,56.09%
Coco Bambu Anhembi,8.25%,1.01%,18.40%,12.66%,0.45%,0.19%,1.41%,57.63%
Coco Bambu Botafogo,9.49%,1.88%,25.65%,13.90%,0.20%,0.12%,2.76%,46.01%
Coco Bambu BH Anchieta,10.09%,2.31%,23.41%,12.89%,0.37%,0.11%,3.47%,47.36%
Coco Bambu (SP Market),11.10%,2.11%,24.83%,13.91%,0.19%,0.13%,4.08%,43.66%
COCO BAMBU SÃO JOSÉ DO RIO PRETO,6.51%,1.20%,19.42%,12.26%,0.01%,0.08%,0.76%,59.76%
Coco Bambu Osasco,6.24%,1.20%,17.04%,11.99%,0.08%,0.14%,0.87%,62.43%
Coco Bambu Manaus,8.92%,1.94%,19.76%,12.69%,0.25%,0.16%,2.66%,53.63%
Coco Bambu Teresina,9.12%,1.96%,20.84%,10.36%,0.67%,0.13%,2.66%,54.25%
Coco Bambu Porto Alegre,9.31%,2.45%,27.12%,13.36%,0.27%,0.11%,3.70%,43.67%
Coco Bambu Shopping Recife: Restaurante e Frutos do Mar em Recife PE,11.29%,1.88%,25.11%,12.53%,0.27%,0.24%,4.10%,44.58%
Coco Bambu - Unidade JK,13.15%,2.54%,34.00%,15.20%,1.14%,0.16%,8.34%,25.46%
Coco Bambu Sul,12.57%,1.69%,25.00%,12.31%,1.29%,0.22%,6.06%,40.86%
Coco Bambu Beira Mar,15.86%,3.80%,30.38%,16.54%,1.81%,0.25%,8.28%,23.07%
Coco Bambu Guarulhos,8.00%,1.53%,19.89%,13.67%,0.10%,0.13%,2.03%,54.64%
Restaurante Coco Bambu Bahia e Espaço de Eventos,9.04%,1.05%,19.28%,11.79%,0.48%,0.09%,1.66%,56.62%
Coco Bambu Minas Shopping,10.03%,1.80%,19.86%,13.77%,0.18%,0.07%,1.21%,53.08%
Coco Bambu Meireles,13.69%,2.24%,28.29%,13.26%,1.43%,0.23%,6.35%,34.52%
Coco Bambu Uberlândia,9.41%,2.58%,21.35%,12.97%,0.15%,0.11%,2.36%,51.05%
Coco Bambu Brasília Shopping,12.88%,3.14%,30.03%,13.61%,0.83%,0.14%,6.32%,33.06%
Coco Bambu Sorocaba,9.15%,1.46%,24.53%,13.23%,0.07%,0.12%,1.34%,50.11%
Coco Bambu Conceito-BH Shopping,6.59%,1.49%,20.08%,12.36%,0.33%,0.13%,1.71%,57.31%
Coco Bambu ItaúPower Contagem,8.18%,1.57%,20.72%,14.14%,0.08%,0.06%,0.89%,54.37%
Coco Bambu Conceito São Bernardo do Campo,7.70%,1.16%,20.89%,12.22%,0.17%,0.10%,1.25%,56.52%
Coco Bambu Campo Grande,6.63%,2.24%,20.44%,12.15%,0.01%,0.06%,1.38%,57.08%
Coco Bambu Del Rey,8.52%,1.81%,22.18%,13.06%,0.14%,0.06%,1.47%,52.77%
Coco Bambu Park Shopping: Restaurante e Frutos do Mar em Brasília DF,8.73%,1.97%,20.06%,12.41%,0.16%,0.15%,2.21%,54.30%
Coco Bambu - Unidade Market Place,9.41%,1.86%,28.91%,12.91%,0.22%,0.31%,6.22%,40.16%
Coco Bambu Vila Velha,12.62%,2.19%,29.22%,14.58%,0.53%,0.14%,5.74%,34.98%
Coco Bambu - Dom Pastel,14.51%,2.63%,29.60%,11.84%,2.16%,0.20%,10.07%,28.99%
Coco Bambu Londrina: Restaurante e Frutos do Mar em Londrina PR,11.71%,2.55%,27.76%,13.36%,0.20%,0.05%,3.62%,40.75%
Coco Bambu Vitória,8.09%,1.47%,20.82%,11.03%,0.65%,0.12%,1.27%,56.54%
Coco Bambu Conceito Pátio Paulista,8.07%,1.81%,25.26%,12.13%,0.09%,0.24%,2.21%,50.19%
Coco Bambu Ribeirão Preto,14.11%,3.55%,32.99%,15.31%,0.58%,0.16%,6.87%,26.43%
Coco Bambu Conceito Eldorado,8.13%,1.93%,27.20%,14.93%,0.41%,0.15%,4.70%,42.56%
Coco Bambu Conceito Vila Olímpia,7.90%,2.02%,27.68%,14.62%,0.32%,0.35%,3.68%,43.42%
Coco Bambu Haddock Lobo Jardins,13.79%,1.62%,24.49%,14.33%,0.25%,0.22%,1.69%,43.63%
Coco Bambu Iguatemi Brasília,11.31%,1.78%,22.42%,13.05%,0.20%,0.12%,2.79%,48.32%
Coco Bambu Canoas,11.33%,1.64%,25.62%,14.66%,0.16%,0.0,1.96%,44.63%
Coco Bambu Belém,8.49%,1.14%,22.45%,14.13%,0.06%,0.11%,1.82%,51.79%
Coco Bambu Lago Sul,15.84%,2.19%,24.52%,16.01%,0.51%,0.51%,4.72%,35.72%
Coco Bambu Coffee Break,22.09%,5.33%,24.70%,12.95%,1.20%,0.22%,6.64%,26.88%
Coco Bambu North Shopping Fortaleza,13.91%,1.88%,19.22%,11.72%,0.94%,0.0,2.19%,50.16%
